GEO_ID,NAME,P2_001N,P2_002N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N
Geography,Geographic Area Name,Total,Hispanic or Latino total,White total,Black or African American total,American Indian and Alaska Native total,Asian total,Native Hawaiian and Other Pacific Islander total,Some Other Race total,Two or more races total
0500000US06001,"Alameda County, California",1682353,393749,472277,159499,4131,540511,13209,10440,88537
0500000US06003,"Alpine County, California",1204,84,801,10,214,12,0,7,76
0500000US06005,"Amador County, California",40474,6014,29725,1215,577,554,73,249,2067
0500000US06007,"Butte County, California",211632,40112,139651,3320,3050,10333,508,1184,13474
0500000US06009,"Calaveras County, California",45292,5865,34668,334,497,706,75,268,2879
0500000US06011,"Colusa County, California",21839,13476,6941,182,280,252,70,92,546
0500000US06013,"Contra Costa County, California",1165927,314900,455421,97994,2553,214520,5720,8366,66453
0500000US06015,"Del Norte County, California",27743,5321,16262,841,2136,826,28,122,2207
0500000US06017,"El Dorado County, California",191185,26459,140141,1436,1273,9024,276,1215,11361
0500000US06019,"Fresno County, California",1008654,540743,271889,44295,6074,109665,1233,5209,29546
0500000US06021,"Glenn County, California",28917,12541,13897,140,531,626,39,144,999
0500000US06023,"Humboldt County, California",136463,18535,93316,1729,7454,3495,436,1091,10407
0500000US06025,"Imperial County, California",179702,153027,16813,3846,1584,2244,82,519,1587
0500000US06027,"Inyo County, California",19016,4399,11035,85,2189,273,13,87,935
0500000US06029,"Kern County, California",909235,499158,279600,46776,5197,44257,1127,4557,28563
0500000US06031,"Kings County, California",152486,86607,44361,8300,1690,5511,331,713,4973
0500000US06033,"Lake County, California",68163,15442,44202,1158,1737,940,89,386,4209
0500000US06035,"Lassen County, California",32730,7531,19534,2244,939,472,283,142,1585
0500000US06037,"Los Angeles County, California",10014009,4804763,2563609,760689,18453,1474237,20522,58683,313053
0500000US06039,"Madera County, California",156255,93178,48399,4131,1738,3581,122,723,4383
0500000US06041,"Marin County, California",262321,49410,173149,6120,555,16175,457,2040,14415
0500000US06043,"Mariposa County, California",17131,2140,12838,105,410,287,15,114,1222
0500000US06045,"Mendocino County, California",91601,23933,56205,607,3528,1730,110,592,4896
0500000US06047,"Merced County, California",281202,173857,68729,8191,1164,19824,617,1242,7578
0500000US06049,"Modoc County, California",8700,1259,6446,66,387,61,13,56,412
0500000US06051,"Mono County, California",13195,3507,8679,68,177,159,26,78,501
0500000US06053,"Monterey County, California",439035,265321,120077,9051,1314,25123,1859,2170,14120
0500000US06055,"Napa County, California",138019,48829,68909,2300,507,10520,316,910,5728
0500000US06057,"Nevada County, California",102241,10416,82810,416,695,1371,119,617,5797
0500000US06059,"Orange County, California",3186989,1086834,1198655,49304,5298,699124,7714,14818,125242
0500000US06061,"Placer County, California",404739,60628,272471,6440,2010,34776,967,2091,25356
0500000US06063,"Plumas County, California",19790,1897,15999,102,382,145,40,114,1111
0500000US06065,"Riverside County, California",2418185,1202295,788235,146762,11960,164889,6767,12365,84912
0500000US06067,"Sacramento County, California",1585055,374434,650271,145724,7432,276295,18011,10104,102784
0500000US06069,"San Benito County, California",64209,39241,19785,479,221,2189,127,332,1835
0500000US06071,"San Bernardino County, California",2181654,1170913,566113,173322,8412,176204,6173,12117,68400
0500000US06073,"San Diego County, California",3298634,1119629,1422205,145014,12841,400589,12991,18125,167240
0500000US06075,"San Francisco County, California",873965,136761,341306,45071,1570,294220,3244,6347,45446
0500000US06077,"San Joaquin County, California",779233,325725,215530,56898,3135,134684,4977,4192,34092
0500000US06079,"San Luis Obispo County, California",282424,67921,183468,4330,1136,10001,340,1614,13614
0500000US06081,"San Mateo County, California",764442,191386,275902,14701,1021,227783,8840,5840,38969
0500000US06083,"Santa Barbara County, California",448229,210584,184746,6467,1731,25378,542,2378,16403
0500000US06085,"Santa Clara County, California",1936259,487357,555708,42148,3240,753399,5945,10195,78267
0500000US06087,"Santa Cruz County, California",270861,94299,145551,2850,853,12072,277,1649,13310
0500000US06089,"Shasta County, California",182155,19730,136894,1761,4047,5839,323,1037,12524
